Planet_Name,Planet_Detection_Method,Planet_Mass,Planet_Radius,Planet_Period,Planet_Semimajor_Axis,Planet_Gravity,Planet_Density,Planet_Hill_Sphere,Planet_Distance,Planet_Periastron,Planet_Apastron,Planet_Flux,Planet_Equilibrium_Temperature,Planet_Surface_Temperature,Planet_Type,Planet_Habitability_Zone_Location,Planet_Temperature_Type,Planet_Habitability,Planet_Earth_Similarity_Index,Star_Name,Star_Magnitude,Star_Distance,Star_Temperature,Star_Mass,Star_Radius,Star_Temperature_Type,Star_Luminosity,Star_Snow_Line
GJ 514 b,Radial Velocity,5.2,2.13,140.43,0.422,1.1461571,0.53810191,0.0050342886,0.4647275,0.2321,0.6119,0.27009078,176.14532,198.92846,Superterran,1,Warm,2,0.52010084,GJ 514,9.05,7.61778,3728,0.51,0.5,M,0.042953643,0.55958204
Kepler-62 f,Transit,35,1.41,267.291,0.718,17.604748,12.485637,0.026585776,0.718,0.718,0.718,0.40714688,203.48738,229.80702,Terran,1,Warm,1,0.67871408,Kepler-62,13.965,300.874,4925,0.69,0.64,K,0.20989399,1.2369831
TOI-715 b,Transit,3.02,1.55,19.288004,0.083,1.2570239,0.81098318,0.0019586479,0.083,0.083,0.083,0.71259671,234.05109,264.32393,Terran,1,Warm,1,0.80676025,TOI-715,16.683,42.4048,3075,0.23,0.24,M,0.0049090788,0.18917501
GJ 667 C c,Radial Velocity,3.8,1.77,28.14,0.125,1.2129337,0.68527328,0.0027670131,0.125025,0.1225,0.1275,0.87753986,246.53799,278.42592,Superterran,1,Warm,2,0.7981014,GJ 667 C,10.602,7.24396,3350,0.33,0.42929613,M,0.013708818,0.31612858
K2-288 B b,Transit,4.27,1.9,31.393463,0.164,1.1828255,0.62253973,0.0038512384,0.164,0.164,0.164,0.43682985,207.0989,233.88566,Superterran,1,Warm,2,0.64648814,K2-288 B,13.868,65.6138,3341,0.33,0.32,M,0.011748976,0.29266027
Kepler-22 b,Transit,9.1,2.1,289.86388,0.812,2.0634921,0.98261527,0.004992832,1.0224704,0.22736,1.39664,1.4110575,243.87463,275.41808,Superterran,1,Warm,2,0.7216326,Kepler-22,11.751,194.642,5596,0.86,0.87,G,0.64565423,2.1695205
Proxima Cen b,Radial Velocity,1.07,1.03,11.1868,0.04856,1.0085776,0.97920158,0.00098709173,0.048569712,0.0475888,0.0495312,0.67846824,231.1796,261.08103,Terran,1,Warm,1,0.86414229,Proxima Cen,11.01,1.30119,2900,0.12,0.14,M,0.001599558,0.10798508
K2-3 d,Transit,2.2,1.458,44.55603,0.2014,1.034922,0.70982307,0.00290689,0.2022339,0.1830726,0.2197274,1.4544097,279.31529,315.44273,Terran,1,Warm,1,0.81426382,K2-3,12.168,44.0727,3844,0.55,0.55,M,0.058748935,0.65443085
Kepler-174 d,Transit,5.43,2.19,247.35373,0.677,1.1321699,0.51697255,0.01411205,0.677,0.677,0.677,0.58724951,223.00026,251.84376,Superterran,1,Warm,2,0.67845615,Kepler-174,14.53,384.757,4880,0.6,0.62,K,0.26915348,1.4007601
Kepler-440 b,Transit,4.12,1.86,101.11141,0.242,1.1908891,0.64026297,0.0030890054,0.2559876,0.15972,0.32428,1.4356379,272.55401,307.80693,Superterran,1,Warm,2,0.75260263,Kepler-440,15.637,301.03,4134,0.57,0.56,K,0.079067863,0.75921322
Kepler-442 b,Transit,2.36,1.34,112.3053,0.409,1.3143239,0.98083873,0.0061655787,0.4093272,0.39264,0.42536,0.69968264,232.91347,263.03917,Terran,1,Warm,1,0.83824202,Kepler-442,15.322,365.965,4402,0.61,0.6,K,0.11694994,0.92334449
Ross 128 b,Radial Velocity,1.4,1.11,9.8658,0.0496,1.1362714,1.0236679,0.0008856842,0.049933709,0.0438464,0.0553536,1.4824444,280.37696,316.64171,Terran,1,Warm,1,0.85772067,Ross 128,11.12,3.37454,3192,0.17,0.2,M,0.00362243,0.16250389
TOI-2257 b,Transit,5.45,2.194,35.189346,0.145,1.1322003,0.51604388,0.001861564,0.16283616,0.07308,0.21692,0.74401712,224.64455,253.70072,Superterran,1,Warm,2,0.71601979,TOI-2257,15.211,57.7911,3430,0.33,0.31,M,0.013583134,0.3146761
