Planet's Name,Planet's Detection Method,Planet's Mass,Planet's Radius,Planet's Period,Planet's Semimajor Axis,Planet's Gravity,Planet's Density,Planet's Hill Sphere,Planet's Distance,Planet's Periastron,Planet's Apastron,Planet's Flux,Planet's Equilibrium Temperature,Planet's Surface Temperature,Planet's Type,Planet's Habitability Zone Location,Planet's Temperature Type,Planet's Habitability,Planet's Earth Similarity Index,Star's Name,Star's Magnitude,Star's Distance,Star's Temperature,Star's Mass,Star's Radius,Star's Temperature Type,Star's Luminosity,Star's Snow Line
GJ 317 b,Radial Velocity,794.5,13.3,695.66,1.151,4.4914919,0.33770616,0.13242147,1.15382,1.07043,1.23157,0.015556647,89.883272,,Jovian,0,Cold,0,0.083619689,GJ 317,12.4,15.1968,3492.73,0.42,0.43,M,0.020558906,0.38713618
GJ 317 c,Radial Velocity,522.5,13.5,6739.323,5.23,2.866941,0.212366,0.46699335,5.3055735,4.3409,6.1191,0.00076271914,42.102542,,Jovian,0,Cold,0,0.067230839,GJ 317,12.4,15.1968,3492.73,0.42,0.43,M,0.020558906,0.38713618
GJ 581 c,Radial Velocity,5.5,2.21,12.914,0.0721,1.1261031,0.5095489,0.0018809944,0.0721,0.0721,0.0721,2.5068565,320.53989,361.99943,Superterran,0,Hot,0,0.59582095,GJ 581,10.57,6.2981,3396,0.31,0.33,M,0.013031668,0.30822209
GJ 86 b,Radial Velocity,1404.8086,12.9,15.76491,0.11,8.4418521,0.65440714,0.012119757,0.110088,0.1056,0.1144,33.694758,613.56407,,Jovian,0,Hot,0,0.099732027,GJ 86,6.12,10.7836,5182,0.93,0.77,K,0.40738028,1.7233114
HD 117618 b,Radial Velocity,55.30242,8.59,25.8,0.18,0.74947614,0.087249841,0.0056830761,0.182025,0.153,0.207,50.979622,677.79607,,Jovian,0,Hot,0,0.11939812,HD 117618,7.17,37.7781,5990,1.08,1.2,G,1.6330519,3.4503549
HD 12484 b,Radial Velocity,947.1334,13.2,58.83,0.297,5.4357978,0.41180286,0.027042982,0.29772765,0.27621,0.31779,11.955114,473.24748,,Jovian,0,Hot,0,0.14758528,HD 12484,8.18,48.3367,5920,1.01,1,F,1.0519619,2.7692602
GJ 876 d,Radial Velocity,6.83,2.51,1.93778,0.020807,1.0841098,0.43191625,0.00045781654,0.02125278,0.016499951,0.025114049,29.247641,587.5819,663.58143,Superterran,0,Hot,0,0.27295056,GJ 876,10.16,4.67517,3293.74,0.32,0.3,M,0.012387966,0.30051335
GJ 96 b,Radial Velocity,19.66,4.67,73.94,0.291,0.90146683,0.19303358,0.0052160733,0.3191688,0.16296,0.41904,1.1666451,254.44961,,Neptunian,1,Warm,0,0.5390936,GJ 96,9.4,11.9315,3785,0.6,0.58,M,0.088715601,0.80419944
TOI-2445 b,Transit,2.1,1.25,0.3711281,0.0064,1.344,1.0752,0.00013013426,0.0064,0.0064,0.0064,201.20559,959.42211,1083.5165,Terran,0,Hot,0,0.2954925,TOI-2445,15.692,48.582,3333,0.25,0.27,M,0.0082413812,0.24511154
HATS-14 b,Transit,340.39593,11.646,2.7667641,0.03815,2.5097519,0.21550334,0.002309429,0.038534628,0.0327327,0.0435673,466.05183,1179.1041,,Jovian,0,Hot,0,0.078001988,HATS-14,14.052,513.011,5346,0.97,0.93,G,0.67142885,2.2124006
HATS-16 b,Transit,1039.3041,14.572,2.686502,0.03744,4.8944547,0.33588078,0.0038321696,0.03744,0.03744,0.03744,1062.4985,1454.393,,Jovian,0,Hot,0,0.06301902,HATS-16,13.957,757.044,5738,0.97,1.24,G,1.4893611,3.2950633
K2-417 b,Transit,699.2225,3.31,6.535,0.063,63.820383,19.281083,0.0067458909,0.063,0.063,0.063,15.824096,508.07688,,Neptunian,0,Hot,0,0.27074226,K2-417,13.909,94.0424,3861,0.57,0.58,M,0.062805836,0.6766495
TOI-4479 b,Transit,8.35,2.82,1.1589,0.0164,1.0499975,0.37233953,0.00043429725,0.0164,0.0164,0.0164,92.536337,790.09222,,Neptunian,0,Hot,0,0.23036116,TOI-4479,15.18,80.6532,3400,0.45,0.45,M,0.024888573,0.42595504
Kepler-75 b,Transit,3209.9,11.77,8.8849116,0.0818,23.170669,1.968621,0.0053557921,0.09508841,0.035174,0.128426,110.8688,769.58628,,Jovian,0,Hot,0,0.084615337,Kepler-75,15.414,835.356,5200,0.91,0.89,K,0.6095369,2.1079668
Kepler-338 c,Transit,6.08,2.34,24.310856,0.172,1.1103806,0.47452162,0.0029506819,0.1720774,0.16684,0.17716,130.35828,860.61924,971.9342,Superterran,0,Hot,0,0.24808903,Kepler-338,12.19,552.798,5923,1.1,1.74,G,3.8547836,5.3010727
Kepler-1130 b,Transit,0.437,0.8,5.4529818,0.059603,0.6828125,0.85351562,0.00046859719,0.059603,0.059603,0.059603,154.69054,898.39153,1014.5921,Subterran,0,Hot,0,0.29756898,Kepler-1130,12.509,249.343,5403,0.9,0.81,G,0.54954087,2.0015377
Kepler-129 c,Transit,43,2.52,82.2,0.39,6.771227,2.6869948,0.010346703,0.3978,0.312,0.468,19.531481,531.45919,,Neptunian,0,Hot,0,0.29249272,Kepler-129,11.809,408.845,5770,1.18,1.65,G,2.9107171,4.6064225
Kepler-25 c,Transit,15.2,5.217,12.7207,0.111666,0.55847266,0.10704862,0.0026097654,0.11166808,0.11098484,0.11234716,211.91718,971.93723,,Neptunian,0,Hot,0,0.15106114,Kepler-25,10.769,243.249,6354,1.17,1.32,F,2.6424088,4.3889816
Kepler-220 b,Transit,0.457,0.81,4.159807,0.046,0.69654016,0.85992613,0.00039361731,0.046,0.046,0.046,99.651614,804.86083,908.96384,Terran,0,Hot,0,0.30298029,Kepler-220,13.049,171.109,4632,0.73,0.67,K,0.21086281,1.2398346
Kepler-403 d,Transit,2.6,1.42,13.611591,0.121735,1.2894267,0.90804697,0.0015543727,0.121735,0.121735,0.121735,297.28232,1057.7718,1194.587,Terran,0,Hot,0,0.28699379,Kepler-403,12.818,840.269,6209,1.25,1.45,F,4.4055486,5.6671377
Kepler-94 b,Transit,10.84,3.51,2.50806,0.03106,0.87986299,0.25067322,0.00073762357,0.03106,0.03106,0.03106,252.69526,1015.6615,,Neptunian,0,Hot,0,0.19562662,Kepler-94,13.071,191.904,4781,0.81,0.76,M,0.24378108,1.3331032
Kepler-19 d,Radial Velocity,22.5,5.06,62.95,0.30330718,0.87878267,0.17367246,0.0083063413,0.30368632,0.28814183,0.31847254,7.1413144,416.23678,,Neptunian,0,Hot,0,0.28659839,Kepler-19,12.035,218.562,5544,0.94,0.86,G,0.65614527,2.1870754
Kepler-94 c,Radial Velocity,3126,12.5,820.3,1.596807,20.0064,1.600512,0.16386866,1.6923506,1.044422,2.149192,0.1057236,141.86202,,Jovian,0,Cold,0,0.16940958,Kepler-94,13.071,191.904,4781,0.81,0.76,M,0.2529298,1.3578874
Kepler-102 c,Transit,1.7,0.567,7.071392,0.06702,5.2878948,9.3260931,0.00078085581,0.067316094,0.06072012,0.07331988,58.279846,702.67919,793.56573,Terran,0,Hot,0,0.28936059,Kepler-102,12.072,107.796,4909,0.8,0.72,K,0.26061535,1.3783635
KOI-351 e,Transit,7.56,2.66,91.93913,0.42,1.0684606,0.40167693,0.0077591603,0.42,0.42,0.42,10.531771,458.9074,,Neptunian,0,Hot,0,0.33332135,KOI-351,13.883,848.254,6080,1.2,1.2,F,1.8578045,3.6801351
TOI-1260 b,Transit,8.56,2.41,3.127463,0.0367,1.4738038,0.61153686,0.00085396407,0.0367,0.0367,0.0367,95.866721,797.1071,900.20721,Superterran,0,Hot,0,0.24829987,TOI-1260,11.922,73.5977,4227,0.68,0.67,K,0.12912193,0.97020557
Kepler-48 c,Transit,14.61,2.71,9.67395,0.086293,1.989352,0.73407823,0.0022019967,0.086293,0.086293,0.086293,69.031747,734.28038,,Neptunian,0,Hot,0,0.23969001,Kepler-48,13.174,306.738,5194,0.88,0.89,K,0.51404365,1.9358146
Kepler-314 b,Transit,0.498,0.83,2.461069,0.035,0.72289157,0.87095369,0.00027843127,0.035,0.035,0.035,485.13646,1195.5443,1350.1795,Terran,0,Hot,0,0.29274529,Kepler-314,12.64,268.881,5378,0.99,0.95,G,0.59429216,2.0814394
HD 134606 b,Radial Velocity,9.09,2.97,12.089,0.1046,1.0305071,0.34697208,0.0019507172,0.10504267,0.0949768,0.1142232,106.60618,817.24751,922.95264,Superterran,0,Hot,0,0.2223726,HD 134606,6.86,26.7909,5576,1.05,1.16,G,1.1614486,2.9098042
